ID,ZoneName,AreaName_lang,ContinentID
145,AlgazGate,Algaz Gate,0
146,StonewroughtDam,Stonewrought Dam,0
147,TheFarstriderLodge,The Farstrider Lodge,0
148,Darkshore,Darkshore,1
149,SilverStreamMine,Silver Stream Mine,0
150,MenethilHarbor,Menethil Harbor,0
151,DesignerIsland,Designer Island,451
152,TheBulwark,The Bulwark,0
153,RuinsofLordaeron,Ruins of Lordaeron,0
154,Deathknell,Deathknell,0
155,NightWebsHollow,Night Web's Hollow,0
156,SollidenFarmstead,Solliden Farmstead,0
157,AgamandMills,Agamand Mills,0
158,AgamandFamilyCrypt,Agamand Family Crypt,0
159,Brill,Brill,0
160,WhisperingGardens,Whispering Gardens,0
161,TerraceofRepose,Terrace of Repose,0
162,BrightwaterLake,Brightwater Lake,0
163,Gunther'sRetreat,Gunther's Retreat,0
164,Garren'sHaunt,Garren's Haunt,0
165,BalnirFarmstead,Balnir Farmstead,0
166,ColdHearthManor,Cold Hearth Manor,0
167,CrusaderOutpost,Crusader Outpost,0
168,TheNorthCoast,The North Coast,0
169,Whispering Shore,Whispering Shore,0
170,LordamereLake,Lordamere Lake,0
172,FenrisIsle,Fenris Isle,0
173,Faol'sRest,Faol's Rest,0
186,Dolanaar,Dolanaar,1
187,DarnassusUNUSED,Darnassus UNUSED,1
188,Shadowglen,Shadowglen,1
189,Steelgrill'sDepot,Steelgrill's Depot,0
190,Hearthglen,Hearthglen,0
192,NorthridgeLumberCamp,Northridge Lumber Camp,0
193,RuinsofAndorhal,Andorhal,0
195,SchoolofNecromancy,School of Necromancy,0
196,UthersTomb,Uther's Tomb,0
197,SorrowHill,Sorrow Hill,0
198,TheWeepingCave,The Weeping Cave,0
199,FelstoneField,Felstone Field,0
200,Dalson'sTears,Dalson's Farm,0
201,Gahrron'sWithering,Gahrron's Withering,0
202,TheWrithingHaunt,The Writhing Haunt,0
203,MardenholdeKeep,Mardenholde Keep,0
204,PyrewoodVillage,Pyrewood Village,0
205,DunModr,Dun Modr,0
206,UtgardeKeep,Utgarde Keep,574
207,TheGreatSea,The Great Sea,36
208,UnusedIroncladcove,Unused Ironcladcove,36
209,ShadowfangKeep,Shadowfang Keep,33
210,Icecrown,Icecrown,571
211,IceflowLake,Iceflow Lake,0
212,Helm'sBedLake,Helm's Bed Lake,0
213,DeepElemMine,Deep Elem Mine,0
214,TheGreatSea,The Great Sea,0
215,Mulgore,Mulgore,1
219,AlexstonFarmstead,Alexston Farmstead,0
220,RedCloudMesa,Red Cloud Mesa,1
221,CampNarache,Camp Narache,1
222,BloodhoofVillage,Bloodhoof Village,1
223,StonebullLake,Stonebull Lake,1
224,RavagedCaravan,Ravaged Caravan,1
225,RedRocks,Red Rocks,1
226,TheSkitteringDark,The Skittering Dark,0
227,Valgan'sField,Valgan's Field,0
228,TheSepulcher,The Sepulcher,0
229,Olsen'sFarthing,Olsen's Farthing,0
230,TheGreymaneWall,The Greymane Wall,0
231,Beren'sPeril,Beren's Peril,0
232,TheDawningIsles,The Dawning Isles,0
233,Ambermill,Ambermill,0
235,FenrisKeep,Fenris Keep,0
236,Shadowfang Keep,Shadowfang Keep,0
237,TheDecrepitFields,The Decrepit Fields,0
238,Malden'sOrchard,Malden's Orchard,0
239,TheIvarPatch,The Ivar Patch,0
240,TheDeadField,The Dead Field,0
241,TheRottingOrchard,The Rotting Orchard,0
242,BrightwoodGrove,Brightwood Grove,0
243,ForlornRowe,Forlorn Rowe,0
244,TheWhippleEstate,The Whipple Estate,0
245,TheYorgenFarmstead,The Yorgen Farmstead,0
246,TheCauldron,The Cauldron,0
247,GrimesiltDigSite,Grimesilt Dig Site,0
249,DreadmaulRock,Dreadmaul Rock,0
250,RuinsofThaurisan,Ruins of Thaurissan,0
251,FlameCrest,Flame Crest,0
252,BlackrockStronghold,Blackrock Stronghold,0
253,ThePillarofAsh,The Pillar of Ash,0
254,BlackrockMountain,Blackrock Mountain,0
255,AltarofStorms,Altar of Storms,0
256,Aldrassil,Aldrassil,1
257,ShadowthreadCave,Shadowthread Cave,1
258,FelRock,Fel Rock,1
259,LakeIl'Ameth,Lake Al'Ameth,1
260,StarbreezeVillage,Starbreeze Village,1
261,GnarlpineHold,Gnarlpine Hold,1
262,BanethilBarrowDen,Ban'ethil Barrow Den,1
263,TheCleft,The Cleft,1
264,TheOracleGlade,The Oracle Glade,1
265,WellspringRiver,Wellspring River,1
266,WellspringLake,Wellspring Lake,1
267,HillsbradFoothills,Hillsbrad Foothills,0
268,AzsharaCrater,Azshara Crater,37
269,DunAlgaz,Dun Algaz,0
271,RuinsofSouthshore,Ruins of Southshore,0
272,TarrenMill,Tarren Mill,0
275,DurnholdeKeep,Durnholde Keep,0
276,StonewroughtPass,UNUSED Stonewrought Pass,0
277,TheFoothillCaverns,The Foothill Caverns,0
278,BrazieFarmstead,Brazie Farmstead,0
279,DalaranCrater,Dalaran Crater,0
280,Strahnbrad,Strahnbrad,0
281,RuinsofAlterac,Ruins of Alterac,0
282,CrushridgeHold,Crushridge Hold,0
283,SlaughterHollow,Slaughter Hollow,0
284,TheUplands,The Uplands,0
285,SouthpointGate,Southpoint Gate,0
286,TheSludgeFields,The Sludge Fields,0
287,Hillsbrad,Hillsbrad,0
288,AzurelodeMine,Azurelode Mine,0
289,NethanderStead,Nethander Stead,0
290,DunGarok,Dun Garok,0
293,Thoradin'sWall,Thoradin's Wall,0
294,EasternStrand,Eastern Strand,0
295,WesternStrand,Western Strand,0
296,SouthSeasUNUSED,South Seas UNUSED,0
297,JagueroIsle,Jaguero Isle,0
298,BaradinBay,Baradin Bay,0
299,MenethilBay,Menethil Bay,0
300,MistyReedStrand,Misty Reed Strand,0
301,TheSavageCoast,The Savage Coast,0
302,TheCrystalShore,The Crystal Shore,0
303,ShellBeach,Shell Beach,0
305,NorthTide'sRun,North Tide's Run,0
306,SouthTide'sRun,South Tide's Run,0
307,TheOverlookCliffs,The Overlook Cliffs,0
308,TheForbiddingSea,The Forbidding Sea,0
309,Ironbeard'sTomb,Ironbeard's Tomb,0
310,CrystalveinMine,Crystalvein Mine,0
311,RuinsofAboraz,Ruins of Aboraz,0
312,Janeiro'sPoint,Janeiro's Point,0
313,NorthfoldManor,Northfold Manor,0
314,Go'ShekFarm,Go'Shek Farm,0
315,Dabyrie'sFarmstead,Dabyrie's Farmstead,0
316,BoulderfistHall,Boulderfist Hall,0
317,WitherbarkVillage,Witherbark Village,0
318,DrywhiskerGorge,Drywhisker Gorge,0
320,RefugePointe,Refuge Pointe,0
321,Hammerfall,Hammerfall,0
322,BlackwaterShipwrecks,Blackwater Shipwrecks,0
323,O'Breen'sCamp,O'Breen's Camp,0
324,StromgardeKeep,Stromgarde Keep,0
325,TheTowerofArathor,The Tower of Arathor,0
326,TheSanctum,The Sanctum,0
327,Faldir'sCove,Faldir's Cove,0
328,TheDrownedReef,The Drowned Reef,0
330,ThandolSpan,Thandol Span,0
331,Ashenvale,Ashenvale,1
332,TheGreatSea,The Great Sea,1
333,CircleofEastBinding,Circle of East Binding,0
334,CircleofWestBinding,Circle of West Binding,0
335,CircleofInnerBinding,Circle of Inner Binding,0
336,CircleofOuterBinding,Circle of Outer Binding,0
337,Apocryphan'sRest,Apocryphan's Rest,0
338,AngorFortress,Angor Fortress,0
339,LethlorRavine,Lethlor Ravine,0
340,Kargath,Ruins of Kargath,0
341,CampKosh,Camp Kosh,0
342,CampBoff,Camp Boff,0
343,CampWurg,Camp Wurg,0
344,CampCagg,Camp Cagg,0
345,Agmond'sEnd,Agmond's End,0
346,Hammertoe'sDigsite,Hammertoe's Digsite,0
347,DustbelchGrotto,Dustbelch Grotto,0
348,AeriePeak,Aerie Peak,0
349,WildhammerKeep,Wildhammer Keep,0
350,Quel'DanilLodge,Quel'Danil Lodge,0
351,SkulkRock,Skulk Rock,0
352,Zun'watha,Zun'watha,0
353,Shadra'Alor,Shadra'Alor,0
354,JinthaAlor,Jintha'Alor,0
355,TheAltarofZul,The Altar of Zul,0
356,Seradane,Seradane,0
357,Feralas,Feralas,1
358,BramblebladeRavine,Brambleblade Ravine,1
359,BaelModan,Bael Modan [UNUSED],1
360,TheVentureCoMine,The Venture Co. Mine,1
361,Felwood,Felwood,1
362,RazorHill,Razor Hill,1
363,ValleyofTrials,Valley of Trials,1
364,TheDen,The Den,1
365,BurningBladeCoven,Burning Blade Coven,1
366,NorthwatchFoothold,Northwatch Foothold,1
367,Sen'jinVillage,Sen'jin Village,1
368,EchoIsles,Echo Isles,1
369,ThunderRidge,Thunder Ridge,1
370,DrygulchRavine,Drygulch Ravine,1
371,DustwindCave,Dustwind Cave,1
372,TiragardeKeep,Tiragarde Keep,1
373,ScuttleCoast,Scuttle Coast,1
374,BladefistBay,Bladefist Bay,1
375,DeadeyeShore,Deadeye Shore,1
377,SouthfuryRiver,Southfury River,1
378,CampTaurajo,Camp Taurajo [UNUSED],1
379,FarWatchPost,Far Watch Post,1
380,TheCrossroads,The Crossroads,1
381,BoulderLodeMine,Boulder Lode Mine,1
382,TheSludgeFen,The Sludge Fen,1
383,TheDryHills,The Dry Hills,1
384,DreadmistPeak,Dreadmist Peak,1
385,NorthwatchHold,Northwatch Hold [UNUSED],1
386,TheForgottenPools,The Forgotten Pools,1
387,LushwaterOasis,Lushwater Oasis,1
388,TheStagnantOasis,The Stagnant Oasis,1
390,FieldofGiants,Field of Giants [UNUSED],1
391,TheMerchantCoast,The Merchant Coast,1
392,Ratchet,Ratchet,1
393,DarkspearStrand,Darkspear Strand,1
394,GrizzlyHills,Grizzly Hills,571
395,Grizzlemaw,Grizzlemaw,571
396,WinterhoofWaterWell,Winterhoof Water Well,1
397,ThunderhornWaterWell,Thunderhorn Water Well,1
398,WildmaneWaterWell,Wildmane Water Well,1
399,SkylineRidge,Skyline Ridge,1
400,ThousandNeedles,Thousand Needles,1
401,TheTidusStair,The Tidus Stair,1
403,ShadyRestInn,Shady Rest Inn,1
404,Bael'dunDigsite,Bael'dun Digsite,1
405,Desolace,Desolace,1
406,StonetalonMountains,Stonetalon Mountains,1
407,OrgrimmarUNUSED,Orgrimmar UNUSED,1
408,Gillijim'sIsle,Gillijim's Isle,0
409,IslandofDoctorLapidis,Island of Doctor Lapidis,0
410,RazorwindCanyon,Razorwind Canyon,1
411,Bathran'sHaunt,Bathran's Haunt,1
412,TheRuinsofOrdil'Aran,The Ruins of Ordil'Aran,1
413,Maestra'sPost,Maestra's Post,1
414,TheZoramStrand,The Zoram Strand,1
415,Astranaar,Astranaar,1
416,TheShrineofAessina,The Shrine of Aessina,1
417,FireScarShrine,Fire Scar Shrine,1
418,TheRuinsofStardust,The Ruins of Stardust,1
419,TheHowlingVale,The Howling Vale,1
420,SilverwindRefuge,Silverwind Refuge,1
421,MystralLake,Mystral Lake,1
422,FallenSkyLake,Fallen Sky Lake,1
424,RemainsofIrisLake,Remains of Iris Lake,1
425,MoonwellofPurity,Moonwell of Purity,1
426,RaynewoodRetreat,Raynewood Retreat,1
427,TheShadyNook,The Shady Nook,1
428,Night Run,Night Run,1
429,Xavian,Xavian,1
430,Satyrnaar,Satyrnaar,1
431,Splintertree Post,Splintertree Post,1
432,TheDor'DanilBarrowDen,The Dor'Danil Barrow Den,1
433,FalfarrenRiver,Falfarren River,1
434,FelfireHill,Felfire Hill,1
435,DemonFallCanyon,Demon Fall Canyon,1
436,DemonFallRidge,Demon Fall Ridge,1
437,Warsong Lumber Camp,Warsong Lumber Camp,1
438,BoughShadow,Bough Shadow,1
439,TheShimmeringFlats,The Shimmering Flats,1
440,Tanaris,Tanaris,1
441,LakeFalathim,Lake Falathim,1
442,RuinsofAuberdine,Ruins of Auberdine,1
443,RuinsofMathystra,Ruins of Mathystra,1
444,TowerofAlthalaxx,Tower of Althalaxx,1
445,CliffspringFalls,Cliffspring Falls,1
446,Bashal'Aran,Bashal'Aran,1
447,Ameth'Aran,Ameth'Aran,1
448,GroveoftheAncients,Grove of the Ancients,1
449,TheMastersGlaive,The Master's Glaive,1
450,Remtravel'sExcavation,Remtravel's Excavation,1
452,MistsEdge,Mist's Edge,1
453,TheLongWash,The Long Wash,1
454,WildbendRiver,Wildbend River,1
455,BlackwoodDen,Blackwood Den,1
456,CliffspringRiver,Cliffspring River,1
457,TheVeiledSea,The Veiled Sea,1
458,GoldRoad,Gold Road,1
459,ScarletWatchPost,Scarlet Watch Post,0
460,SunRockRetreat,Sun Rock Retreat,1
461,Windshear Crag,Windshear Crag,1
463,CragpoolLake,Cragpool Lake,1
464,MirkfallonLake,Mirkfallon Lake,1
465,TheCharredVale,The Charred Vale,1
466,ValleyoftheBloodfuries,Valley of the Bloodfuries,1
467,StonetalonPeak,Stonetalon Peak,1
468,TheTalonDen,The Talon Den,1
469,GreatwoodVale,Greatwood Vale,1
470,ThunderBluffUNUSED,Thunder Bluff UNUSED,1
471,BraveWindMesa,Brave Wind Mesa,1
472,FireStoneMesa,Fire Stone Mesa,1
473,MantleRock,Mantle Rock,1
474,HunterRiseUNUSED,Hunter Rise UNUSED,1
475,SpiritRiseUNUSED,Spirit RiseUNUSED,1
476,ElderRiseUNUSED,Elder RiseUNUSED,1
477,RuinsofJubuwal,Ruins of Jubuwal,0
478,PoolsofArlithrien,Pools of Arlithrien,1
479,TheRustmaulDigSite,The Rustmaul Dig Site,1
480,CampE'thok,Camp E'thok,1
481,SplithoofCrag,Splithoof Crag,1
482,Highperch,Highperch,1
483,TheScreechingCanyon,The Screeching Canyon,1
484,FreewindPost,Freewind Post,1
485,TheGreatLift,The Great Lift,1
486,GalakHold,Galak Hold,1
487,RoguefeatherDen,Roguefeather Den,1
488,TheWeatheredNook,The Weathered Nook,1
489,Thalanaar,Thalanaar,1
490,UnGoroCrater,Un'Goro Crater,1
491,RazorfenKraul,Razorfen Kraul,47
492,RavenHillCemetery,Raven Hill Cemetery,0
493,Moonglade,Moonglade,1
495,HowlingFjord,Howling Fjord,571
496,BrackenwallVillage,Brackenwall Village,1
497,SwamplightManor,Swamplight Manor,1
498,BloodfenBurrow,Bloodfen Burrow,1
499,DarkmistCavern,Darkmist Cavern,1
500,MogglePoint,Moggle Point,1
501,Beezil'sWreck,Beezil's Wreck,1
502,WitchHill,Witch Hill,1
503,SentryPoint,Sentry Point,1
504,NorthPointTower,North Point Tower,1
505,WestPointTower,West Point Tower,1
506,LostPoint,Lost Point,1
507,Bluefen,Bluefen,1
508,StonemaulRuins,Stonemaul Ruins,1
509,TheDenofFlame,The Den of Flame,1
510,TheDragonmurk,The Dragonmurk,1
511,Wyrmbog,Wyrmbog,1
512,BlackhoofVillage,Blackhoof Village,1
513,TheramoreIsle,Theramore Isle,1
514,FootholdCitadel,Foothold Citadel,1
515,IroncladPrison,Ironclad Prison,1
516,DustwallowBay,Dustwallow Bay,1
517,TidefuryCove,Tidefury Cove,1
518,DreadmurkShore,Dreadmurk Shore,1
536,Addle'sStead,Addle's Stead,0
537,FirePlumeRidge,Fire Plume Ridge,1
538,LakkariTarPits,Lakkari Tar Pits,1
539,TerrorRun,Terror Run,1
540,TheSlitheringScar,The Slithering Scar,1
541,Marshal'sRefuge,Marshal's Refuge,1
542,FungalRock,Fungal Rock,1
543,GolakkaHotSprings,Golakka Hot Springs,1
556,TheLoch,The Loch,0
576,Beggar'sHaunt,Beggar's Haunt,0
596,KodoGraveyard,Kodo Graveyard,1
597,GhostWalkerPost,Ghost Walker Post,1
598,Sar'therisStrand,Sar'theris Strand,1
599,ThunderAxeFortress,Thunder Axe Fortress,1
600,Bolgan'sHole,Bolgan's Hole,1
602,MannorocCoven,Mannoroc Coven,1
603,Sargeron,Sargeron,1
604,Shok'Thokar,Shok'Thokar,1
606,GelkisVillage,Gelkis Village,1
607,ValleyofSpears,Valley of Spears,1
608,Nijel'sPoint,Nijel's Point,1
609,KolkarVillage,Kolkar Village,1
616,Hyjal,Mount Hyjal,1
618,Winterspring,Winterspring,1
636,BlackwolfRiver,Blackwolf River,1
637,KodoRock,Kodo Rock,1
638,HiddenPath,Hidden Path,1
639,SpiritRock,Spirit Rock,1
640,ShrineoftheDormantFlame,Shrine of the Dormant Flame,1
656,LakeElune'ara,Lake Elune'ara,1
657,TheHarborage,The Harborage,0
676,Outland,Outland,150
696,Craftsmen'sTerraceUNUSED,Craftsmen's Terrace UNUSED,1
697,Tradesmen'sTerraceUNUSED,Tradesmen's Terrace UNUSED,1
698,TheTempleGardensUNUSED,The Temple Gardens UNUSED,1
699,TempleofEluneUNUSED,Temple of Elune UNUSED,1
700,CenarionEnclaveUNUSED,Cenarion Enclave UNUSED,1
701,Warrior'sTerraceUNUSED,Warrior's Terrace UNUSED,1
702,RuttheranVillage,Rut'theran Village,1
716,Ironband'sCompound,Ironband's Compound,0
717,TheStockade,The Stockade,34
718,WailingCaverns,Wailing Caverns,43
719,BlackfathomDeeps,Blackfathom Deeps,48
720,FrayIsland,Fray Island,1
721,Gnomeregan,Gnomeregan,90
722,RazorfenDowns,Razorfen Downs,129
736,Ban'ethilHollow,Ban'ethil Hollow,1
796,ScarletMonastery,Scarlet Monastery,189
797,Jerod'sLanding,Jerod's Landing,0
798,RidgepointTower,Ridgepoint Tower,0
799,TheDarkenedBank,The Darkened Bank,0
800,ColdridgePass,Coldridge Pass,0
801,ChillBreezeValley,Chill Breeze Valley,0
802,ShimmerRidge,Shimmer Ridge,0
803,AmberstillRanch,Amberstill Ranch,0
804,TheTundridHills,The Tundrid Hills,0
805,SouthGatePass,South Gate Pass,0
806,SouthGateOutpost,South Gate Outpost,0
807,NorthGatePass,North Gate Pass,0
808,NorthGateOutpost,North Gate Outpost,0
809,GatesofIronforge,Gates of Ironforge,0
810,StillwaterPond,Stillwater Pond,0
811,NightmareVale,Nightmare Vale,0
812,VenomwebVale,Venomweb Vale,0
813,TheBulwark,The Bulwark,0
814,SouthfuryRiver,Southfury River,1
815,SouthfuryRiver,Southfury River,1
816,RazormaneGrounds,Razormane Grounds,1
817,SkullRock,Skull Rock,1
818,PalemaneRock,Palemane Rock,1
819,WindfuryRidge,Windfury Ridge,1
820,TheGoldenPlains,The Golden Plains,1
821,TheRollingPlains,The Rolling Plains,1
836,DunAlgaz,Dun Algaz,0
837,DunAlgaz,Dun Algaz,0
838,NorthGatePass,North Gate Pass,0
839,SouthGatePass,South Gate Pass,0
856,TwilightGrove,Twilight Grove,0
876,GMIsland,GM Island,1
877,Delete ME,Delete ME,1
878,SouthfuryRiver,Southfury River,1
879,SouthfuryRiver,Southfury River,1
880,ThandolSpan,Thandol Span,0
881,ThandolSpan,Thandol Span,0
896,PurgationIsle,Purgation Isle,0
916,TheJansenStead,The Jansen Stead,0
917,TheDeadAcre,The Dead Acre,0
918,TheMolsenFarm,The Molsen Farm,0
919,Stendel'sPond,Stendel's Pond,0
920,TheDaggerHills,The Dagger Hills,0
921,Demont'sPlace,Demont's Place,0
922,TheDustPlains,The Dust Plains,0
923,StonesplinterValley,Stonesplinter Valley,0
924,ValleyofKings,Valley of Kings,0
925,AlgazStation,Algaz Station,0
926,BucklebreeFarm,Bucklebree Farm,0
927,TheShiningStrand,The Shining Strand,0
928,NorthTide'sBeachhead,North Tide's Beachhead,0
936,GrizzlepawRidge,Grizzlepaw Ridge,0
956,TheVerdantFields,The Verdant Fields,169
976,Gadgetzan,Gadgetzan,1
977,SteamwheedlePort,Steamwheedle Port,1
978,Zul'Farrak,Zul'Farrak,1
979,SandsorrowWatch,Sandsorrow Watch,1
980,ThistleshrubValley,Thistleshrub Valley,1
981,TheGapingChasm,The Gaping Chasm,1
982,TheNoxiousLair,The Noxious Lair,1
983,DunemaulCompound,Dunemaul Compound,1
984,EastmoonRuins,Eastmoon Ruins,1
985,WaterspringField,Waterspring Field,1
986,Zalashji'sDen,Zalashji's Den,1
987,Land'sEndBeach,Land's End Beach,1
988,WavestriderBeach,Wavestrider Beach,1
989,RuinsofUldum,Ruins of Uldum,1
990,ValleyoftheWatchers,Valley of the Watchers,1
991,Gunstan'sPost,Gunstan's Post,1
992,SouthmoonRuins,Southmoon Ruins,1
996,Render'sCamp,Render's Camp,0
997,Render'sValley,Render's Valley,0
998,Render'sRock,Render's Rock,0
999,StonewatchTower,Stonewatch Tower,0
1000,GalardellValley,Galardell Valley,0
1001,LakeridgeHighway,Lakeridge Highway,0
1002,ThreeCorners,Three Corners,0
1016,DireforgeHill,Direforge Hill,0
1017,RaptorRidge,Raptor Ridge,0
1018,BlackChannelMarsh,Black Channel Marsh,0
1019,TheGreenBelt,The Green Belt,0
1020,MosshideFen,Mosshide Fen,0
1021,ThelgenRock,Thelgen Rock,0
1022,BluegillMarsh,Bluegill Marsh,0
1023,SaltsprayGlen,Saltspray Glen,0
1024,SundownMarsh,Sundown Marsh,0
1025,TheGreenBelt,The Green Belt,0
1036,AngerfangEncampment,Angerfang Encampment,0
1037,GrimBatol,Grim Batol,0
1038,DragonmawGates,Dragonmaw Gates,0
1039,TheLostFleet,The Lost Fleet,0
1056,DarrowHill,Darrow Hill,0
1057,Thoradin'sWall,Thoradin's Wall,0
1076,WebwinderPath,Webwinder Path,1
1097,TheHushedBank,The Hushed Bank,0
1098,ManorMistmantle,Manor Mistmantle,0
1099,CampMojache,Camp Mojache,1
1100,GrimtotemCompound,Grimtotem Compound,1
1101,TheWrithingDeep,The Writhing Deep,1
1102,WildwindLake,Wildwind Lake,1
1103,GordunniOutpost,Gordunni Outpost,1
1104,Mok'Gordun,Mok'Gordun,1
1105,FeralScarVale,Feral Scar Vale,1
1106,FrayfeatherHighlands,Frayfeather Highlands,1
1107,IdlewindLake,Idlewind Lake,1
1108,TheForgottenCoast,The Forgotten Coast,1
1109,EastPillar,East Pillar,1
1110,WestPillar,West Pillar,1
1111,DreamBough,Dream Bough,1
1112,JademirLake,Jademir Lake,1
1113,Oneiros,Oneiros,1
1114,RuinsofRavenwind,Ruins of Ravenwind,1
1115,RageScarHold,Rage Scar Hold,1
1116,RuinsofFeathermoon,Ruins of Feathermoon,1
1117,RuinsofSolarsal,Ruins of Solarsal,1
1118,LowerWilds UNUSED,Lower Wilds UNUSED,1
1119,TheTwinColossals,The Twin Colossals,1
1120,SardorIsle,Sardor Isle,1
1121,IsleofDread,Isle of Dread,1
1136,HighWilderness,High Wilderness,1
